    0x20             SPACE
 0x1230e  𒌎          CUNEIFORM SIGN U OVER U PA OVER PA GAR OVER GAR
 0x1230f  𒌏          CUNEIFORM SIGN U OVER U SUR OVER SUR
 0x12310  𒌐          CUNEIFORM SIGN U OVER U U REVERSED OVER U REVERSED
 0x12311  𒌑          CUNEIFORM SIGN U2
 0x12312  𒌒          CUNEIFORM SIGN UB
 0x12313  𒌓          CUNEIFORM SIGN UD
 0x12314  𒌔          CUNEIFORM SIGN UD KUSHU2
 0x12315  𒌕          CUNEIFORM SIGN UD TIMES BAD
 0x12316  𒌖          CUNEIFORM SIGN UD TIMES MI
 0x12317  𒌗          CUNEIFORM SIGN UD TIMES U PLUS U PLUS U
 0x12318  𒌘          CUNEIFORM SIGN UD TIMES U PLUS U PLUS U GUNU
 0x12319  𒌙          CUNEIFORM SIGN UD GUNU
 0x1231a  𒌚          CUNEIFORM SIGN UD SHESHIG
 0x1231b  𒌛          CUNEIFORM SIGN UD SHESHIG TIMES BAD
 0x1231c  𒌜          CUNEIFORM SIGN UDUG
 0x1231d  𒌝          CUNEIFORM SIGN UM
 0x1231e  𒌞          CUNEIFORM SIGN UM TIMES LAGAB
 0x1231f  𒌟          CUNEIFORM SIGN UM TIMES ME PLUS DA
 0x12320  𒌠          CUNEIFORM SIGN UM TIMES SHA3
 0x12321  𒌡          CUNEIFORM SIGN UM TIMES U
 0x12322  𒌢          CUNEIFORM SIGN UMBIN
 0x12323  𒌣          CUNEIFORM SIGN UMUM
 0x12324  𒌤          CUNEIFORM SIGN UMUM TIMES KASKAL
 0x12325  𒌥          CUNEIFORM SIGN UMUM TIMES PA
 0x12326  𒌦          CUNEIFORM SIGN UN
 0x12327  𒌧          CUNEIFORM SIGN UN GUNU
 0x12328  𒌨          CUNEIFORM SIGN UR
 0x12329  𒌩          CUNEIFORM SIGN UR CROSSING UR
 0x1232a  𒌪          CUNEIFORM SIGN UR SHESHIG
 0x1232b  𒌫          CUNEIFORM SIGN UR2
 0x1232c  𒌬          CUNEIFORM SIGN UR2 TIMES A PLUS HA
 0x1232d  𒌭          CUNEIFORM SIGN UR2 TIMES A PLUS NA
 0x1232e  𒌮          CUNEIFORM SIGN UR2 TIMES AL
 0x1232f  𒌯          CUNEIFORM SIGN UR2 TIMES HA
 0x12330  𒌰          CUNEIFORM SIGN UR2 TIMES NUN
 0x12331  𒌱          CUNEIFORM SIGN UR2 TIMES U2
 0x12332  𒌲          CUNEIFORM SIGN UR2 TIMES U2 PLUS ASH
 0x12333  𒌳          CUNEIFORM SIGN UR2 TIMES U2 PLUS BI
 0x12334  𒌴          CUNEIFORM SIGN UR4
 0x12335  𒌵          CUNEIFORM SIGN URI
 0x12336  𒌶          CUNEIFORM SIGN URI3
 0x12337  𒌷          CUNEIFORM SIGN URU
 0x12338  𒌸          CUNEIFORM SIGN URU TIMES A
 0x12339  𒌹          CUNEIFORM SIGN URU TIMES ASHGAB
 0x1233a  𒌺          CUNEIFORM SIGN URU TIMES BAR
 0x1233b  𒌻          CUNEIFORM SIGN URU TIMES DUN
 0x1233c  𒌼          CUNEIFORM SIGN URU TIMES GA
 0x1233d  𒌽          CUNEIFORM SIGN URU TIMES GAL
 0x1233e  𒌾          CUNEIFORM SIGN URU TIMES GAN2 TENU
 0x1233f  𒌿          CUNEIFORM SIGN URU TIMES GAR
 0x12340  𒍀          CUNEIFORM SIGN URU TIMES GU
 0x12341  𒍁          CUNEIFORM SIGN URU TIMES HA
 0x12342  𒍂          CUNEIFORM SIGN URU TIMES IGI
 0x12343  𒍃          CUNEIFORM SIGN URU TIMES IM
 0x12344  𒍄          CUNEIFORM SIGN URU TIMES ISH
 0x12345  𒍅          CUNEIFORM SIGN URU TIMES KI
 0x12346  𒍆          CUNEIFORM SIGN URU TIMES LUM
 0x12347  𒍇          CUNEIFORM SIGN URU TIMES MIN
 0x12348  𒍈          CUNEIFORM SIGN URU TIMES PA
 0x12349  𒍉          CUNEIFORM SIGN URU TIMES SHE
 0x1234a  𒍊          CUNEIFORM SIGN URU TIMES SIG4
 0x1234b  𒍋          CUNEIFORM SIGN URU TIMES TU
 0x1234c  𒍌          CUNEIFORM SIGN URU TIMES U PLUS GUD
 0x1234d  𒍍          CUNEIFORM SIGN URU TIMES UD
 0x1234e  𒍎          CUNEIFORM SIGN URU TIMES URUDA
 0x1234f  𒍏          CUNEIFORM SIGN URUDA
 0x12350  𒍐          CUNEIFORM SIGN URUDA TIMES U
 0x12351  𒍑          CUNEIFORM SIGN USH
 0x12352  𒍒          CUNEIFORM SIGN USH TIMES A
 0x12353  𒍓          CUNEIFORM SIGN USH TIMES KU
 0x12354  𒍔          CUNEIFORM SIGN USH TIMES KUR
 0x12355  𒍕          CUNEIFORM SIGN USH TIMES TAK4
 0x12356  𒍖          CUNEIFORM SIGN USHX
 0x12357  𒍗          CUNEIFORM SIGN USH2
 0x12358  𒍘          CUNEIFORM SIGN USHUMX
 0x12359  𒍙          CUNEIFORM SIGN UTUKI
 0x1235a  𒍚          CUNEIFORM SIGN UZ3
 0x1235b  𒍛          CUNEIFORM SIGN UZ3 TIMES KASKAL
 0x1235c  𒍜          CUNEIFORM SIGN UZU
 0x1235d  𒍝          CUNEIFORM SIGN ZA
 0x1235e  𒍞          CUNEIFORM SIGN ZA TENU
 0x1235f  𒍟          CUNEIFORM SIGN ZA SQUARED TIMES KUR
 0x12360  𒍠          CUNEIFORM SIGN ZAG
 0x12361  𒍡          CUNEIFORM SIGN ZAMX
 0x12362  𒍢          CUNEIFORM SIGN ZE2
 0x12363  𒍣          CUNEIFORM SIGN ZI
 0x12364  𒍤          CUNEIFORM SIGN ZI OVER ZI
 0x12365  𒍥          CUNEIFORM SIGN ZI3
 0x12366  𒍦          CUNEIFORM SIGN ZIB
 0x12367  𒍧          CUNEIFORM SIGN ZIB KABA TENU
 0x12368  𒍨          CUNEIFORM SIGN ZIG
 0x12369  𒍩          CUNEIFORM SIGN ZIZ2
 0x1236a  𒍪          CUNEIFORM SIGN ZU
 0x1236b  𒍫          CUNEIFORM SIGN ZU5
 0x1236c  𒍬          CUNEIFORM SIGN ZU5 TIMES A
 0x1236d  𒍭          CUNEIFORM SIGN ZUBUR
 0x1236e  𒍮          CUNEIFORM SIGN ZUM
 0x12400  𒐀          CUNEIFORM NUMERIC SIGN TWO ASH
 0x12401  𒐁          CUNEIFORM NUMERIC SIGN THREE ASH
 0x12402  𒐂          CUNEIFORM NUMERIC SIGN FOUR ASH
 0x12403  𒐃          CUNEIFORM NUMERIC SIGN FIVE ASH
 0x12404  𒐄          CUNEIFORM NUMERIC SIGN SIX ASH
 0x12405  𒐅          CUNEIFORM NUMERIC SIGN SEVEN ASH
 0x12406  𒐆          CUNEIFORM NUMERIC SIGN EIGHT ASH
 0x12407  𒐇          CUNEIFORM NUMERIC SIGN NINE ASH
 0x12408  𒐈          CUNEIFORM NUMERIC SIGN THREE DISH
 0x12409  𒐉          CUNEIFORM NUMERIC SIGN FOUR DISH
 0x1240a  𒐊          CUNEIFORM NUMERIC SIGN FIVE DISH
 0x1240b  𒐋          CUNEIFORM NUMERIC SIGN SIX DISH
 0x1240c  𒐌          CUNEIFORM NUMERIC SIGN SEVEN DISH
 0x1240d  𒐍          CUNEIFORM NUMERIC SIGN EIGHT DISH
 0x1240e  𒐎          CUNEIFORM NUMERIC SIGN NINE DISH
 0x1240f  𒐏          CUNEIFORM NUMERIC SIGN FOUR U
 0x12410  𒐐          CUNEIFORM NUMERIC SIGN FIVE U
 0x12411  𒐑          CUNEIFORM NUMERIC SIGN SIX U
 0x12412  𒐒          CUNEIFORM NUMERIC SIGN SEVEN U
 0x12413  𒐓          CUNEIFORM NUMERIC SIGN EIGHT U
 0x12414  𒐔          CUNEIFORM NUMERIC SIGN NINE U
 0x12415  𒐕          CUNEIFORM NUMERIC SIGN ONE GESH2
 0x12416  𒐖          CUNEIFORM NUMERIC SIGN TWO GESH2
 0x12417  𒐗          CUNEIFORM NUMERIC SIGN THREE GESH2
 0x12418  𒐘          CUNEIFORM NUMERIC SIGN FOUR GESH2
 0x12419  𒐙          CUNEIFORM NUMERIC SIGN FIVE GESH2
 0x1241a  𒐚          CUNEIFORM NUMERIC SIGN SIX GESH2
 0x1241b  𒐛          CUNEIFORM NUMERIC SIGN SEVEN GESH2
 0x1241c  𒐜          CUNEIFORM NUMERIC SIGN EIGHT GESH2
 0x1241d  𒐝          CUNEIFORM NUMERIC SIGN NINE GESH2
 0x1241e  𒐞          CUNEIFORM NUMERIC SIGN ONE GESHU
 0x1241f  𒐟          CUNEIFORM NUMERIC SIGN TWO GESHU
 0x12420  𒐠          CUNEIFORM NUMERIC SIGN THREE GESHU
 0x12421  𒐡          CUNEIFORM NUMERIC SIGN FOUR GESHU
 0x12422  𒐢          CUNEIFORM NUMERIC SIGN FIVE GESHU
 0x12423  𒐣          CUNEIFORM NUMERIC SIGN TWO SHAR2
 0x12424  𒐤          CUNEIFORM NUMERIC SIGN THREE SHAR2
 0x12425  𒐥          CUNEIFORM NUMERIC SIGN THREE SHAR2 VARIANT FORM
 0x12426  𒐦          CUNEIFORM NUMERIC SIGN FOUR SHAR2
 0x12427  𒐧          CUNEIFORM NUMERIC SIGN FIVE SHAR2
 0x12428  𒐨          CUNEIFORM NUMERIC SIGN SIX SHAR2
 0x12429  𒐩          CUNEIFORM NUMERIC SIGN SEVEN SHAR2
 0x1242a  𒐪          CUNEIFORM NUMERIC SIGN EIGHT SHAR2
 0x1242b  𒐫          CUNEIFORM NUMERIC SIGN NINE SHAR2
 0x1242c  𒐬          CUNEIFORM NUMERIC SIGN ONE SHARU
 0x1242d  𒐭          CUNEIFORM NUMERIC SIGN TWO SHARU
 0x1242e  𒐮          CUNEIFORM NUMERIC SIGN THREE SHARU
 0x1242f  𒐯          CUNEIFORM NUMERIC SIGN THREE SHARU VARIANT FORM
 0x12430  𒐰          CUNEIFORM NUMERIC SIGN FOUR SHARU
 0x12431  𒐱          CUNEIFORM NUMERIC SIGN FIVE SHARU
 0x12432  𒐲          CUNEIFORM NUMERIC SIGN SHAR2 TIMES GAL PLUS DISH
 0x12433  𒐳          CUNEIFORM NUMERIC SIGN SHAR2 TIMES GAL PLUS MIN
 0x12434  𒐴          CUNEIFORM NUMERIC SIGN ONE BURU
 0x12435  𒐵          CUNEIFORM NUMERIC SIGN TWO BURU
 0x12436  𒐶          CUNEIFORM NUMERIC SIGN THREE BURU
 0x12437  𒐷          CUNEIFORM NUMERIC SIGN THREE BURU VARIANT FORM
 0x12438  𒐸          CUNEIFORM NUMERIC SIGN FOUR BURU
 0x12439  𒐹          CUNEIFORM NUMERIC SIGN FIVE BURU
 0x1243a  𒐺          CUNEIFORM NUMERIC SIGN THREE VARIANT FORM ESH16
 0x1243b  𒐻          CUNEIFORM NUMERIC SIGN THREE VARIANT FORM ESH21
 0x1243c  𒐼          CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU
 0x1243d  𒐽          CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU4
 0x1243e  𒐾          CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU A
 0x1243f  𒐿          CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU B
 0x12440  𒑀          CUNEIFORM NUMERIC SIGN SIX VARIANT FORM ASH9
 0x12441  𒑁          CUNEIFORM NUMERIC SIGN SEVEN VARIANT FORM IMIN3
 0x12442  𒑂          CUNEIFORM NUMERIC SIGN SEVEN VARIANT FORM IMIN A
 0x12443  𒑃          CUNEIFORM NUMERIC SIGN SEVEN VARIANT FORM IMIN B
 0x12444  𒑄          CUNEIFORM NUMERIC SIGN EIGHT VARIANT FORM USSU
 0x12445  𒑅          CUNEIFORM NUMERIC SIGN EIGHT VARIANT FORM USSU3
 0x12446  𒑆          CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU
 0x12447  𒑇          CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU3
 0x12448  𒑈          CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU4
 0x12449  𒑉          CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU A
 0x1244a  𒑊          CUNEIFORM NUMERIC SIGN TWO ASH TENU
 0x1244b  𒑋          CUNEIFORM NUMERIC SIGN THREE ASH TENU
 0x1244c  𒑌          CUNEIFORM NUMERIC SIGN FOUR ASH TENU
 0x1244d  𒑍          CUNEIFORM NUMERIC SIGN FIVE ASH TENU
 0x1244e  𒑎          CUNEIFORM NUMERIC SIGN SIX ASH TENU
 0x1244f  𒑏          CUNEIFORM NUMERIC SIGN ONE BAN2
 0x12450  𒑐          CUNEIFORM NUMERIC SIGN TWO BAN2
 0x12451  𒑑          CUNEIFORM NUMERIC SIGN THREE BAN2
 0x12452  𒑒          CUNEIFORM NUMERIC SIGN FOUR BAN2
 0x12453  𒑓          CUNEIFORM NUMERIC SIGN FOUR BAN2 VARIANT FORM
 0x12454  𒑔          CUNEIFORM NUMERIC SIGN FIVE BAN2
 0x12455  𒑕          CUNEIFORM NUMERIC SIGN FIVE BAN2 VARIANT FORM
 0x12456  𒑖          CUNEIFORM NUMERIC SIGN NIGIDAMIN
 0x12457  𒑗          CUNEIFORM NUMERIC SIGN NIGIDAESH
 0x12458  𒑘          CUNEIFORM NUMERIC SIGN ONE ESHE3
 0x12459  𒑙          CUNEIFORM NUMERIC SIGN TWO ESHE3
 0x1245a  𒑚          CUNEIFORM NUMERIC SIGN ONE THIRD DISH
 0x1245b  𒑛          CUNEIFORM NUMERIC SIGN TWO THIRDS DISH
 0x1245c  𒑜          CUNEIFORM NUMERIC SIGN FIVE SIXTHS DISH
 0x1245d  𒑝          CUNEIFORM NUMERIC SIGN ONE THIRD VARIANT FORM A
 0x1245e  𒑞          CUNEIFORM NUMERIC SIGN TWO THIRDS VARIANT FORM A
 0x1245f  𒑟          CUNEIFORM NUMERIC SIGN ONE EIGHTH ASH
 0x12460  𒑠          CUNEIFORM NUMERIC SIGN ONE QUARTER ASH
 0x12461  𒑡          CUNEIFORM NUMERIC SIGN OLD ASSYRIAN ONE SIXTH
 0x12462  𒑢          CUNEIFORM NUMERIC SIGN OLD ASSYRIAN ONE QUARTER
 0x12470  𒑰          CUNEIFORM PUNCTUATION SIGN OLD ASSYRIAN WORD DIVIDER
 0x12471  𒑱          CUNEIFORM PUNCTUATION SIGN VERTICAL COLON
 0x12472  𒑲          CUNEIFORM PUNCTUATION SIGN DIAGONAL COLON
 0x12473  𒑳          CUNEIFORM PUNCTUATION SIGN DIAGONAL TRICOLON
 0x13000  𓀀          EGYPTIAN HIEROGLYPH A001
 0x13001  𓀁          EGYPTIAN HIEROGLYPH A002
 0x13002  𓀂          EGYPTIAN HIEROGLYPH A003
 0x13003  𓀃          EGYPTIAN HIEROGLYPH A004
 0x13004  𓀄          EGYPTIAN HIEROGLYPH A005
 0x13005  𓀅          EGYPTIAN HIEROGLYPH A005A
 0x13006  𓀆          EGYPTIAN HIEROGLYPH A006
 0x13007  𓀇          EGYPTIAN HIEROGLYPH A006A
 0x13008  𓀈          EGYPTIAN HIEROGLYPH A006B
 0x13009  𓀉          EGYPTIAN HIEROGLYPH A007
 0x1300a  𓀊          EGYPTIAN HIEROGLYPH A008
 0x1300b  𓀋          EGYPTIAN HIEROGLYPH A009
 0x1300c  𓀌          EGYPTIAN HIEROGLYPH A010
 0x1300d  𓀍          EGYPTIAN HIEROGLYPH A011
 0x1300e  𓀎          EGYPTIAN HIEROGLYPH A012
 0x1300f  𓀏          EGYPTIAN HIEROGLYPH A013
 0x13010  𓀐          EGYPTIAN HIEROGLYPH A014
 0x13011  𓀑          EGYPTIAN HIEROGLYPH A014A
 0x13012  𓀒          EGYPTIAN HIEROGLYPH A015
 0x13013  𓀓          EGYPTIAN HIEROGLYPH A016
 0x13014  𓀔          EGYPTIAN HIEROGLYPH A017
 0x13015  𓀕          EGYPTIAN HIEROGLYPH A017A
 0x13016  𓀖          EGYPTIAN HIEROGLYPH A018
 0x13017  𓀗          EGYPTIAN HIEROGLYPH A019
 0x13018  𓀘          EGYPTIAN HIEROGLYPH A020
 0x13019  𓀙          EGYPTIAN HIEROGLYPH A021
 0x1301a  𓀚          EGYPTIAN HIEROGLYPH A022
 0x1301b  𓀛          EGYPTIAN HIEROGLYPH A023
 0x1301c  𓀜          EGYPTIAN HIEROGLYPH A024
 0x1301d  𓀝          EGYPTIAN HIEROGLYPH A025
 0x1301e  𓀞          EGYPTIAN HIEROGLYPH A026
 0x1301f  𓀟          EGYPTIAN HIEROGLYPH A027
 0x13020  𓀠          EGYPTIAN HIEROGLYPH A028
 0x13021  𓀡          EGYPTIAN HIEROGLYPH A029
 0x13022  𓀢          EGYPTIAN HIEROGLYPH A030
 0x13023  𓀣          EGYPTIAN HIEROGLYPH A031
 0x13024  𓀤          EGYPTIAN HIEROGLYPH A032
 0x13025  𓀥          EGYPTIAN HIEROGLYPH A032A
 0x13026  𓀦          EGYPTIAN HIEROGLYPH A033
 0x13027  𓀧          EGYPTIAN HIEROGLYPH A034
 0x13028  𓀨          EGYPTIAN HIEROGLYPH A035
 0x13029  𓀩          EGYPTIAN HIEROGLYPH A036
 0x1302a  𓀪          EGYPTIAN HIEROGLYPH A037
 0x1302b  𓀫          EGYPTIAN HIEROGLYPH A038
 0x1302c  𓀬          EGYPTIAN HIEROGLYPH A039
 0x1302d  𓀭          EGYPTIAN HIEROGLYPH A040
 0x1302e  𓀮          EGYPTIAN HIEROGLYPH A040A
 0x1302f  𓀯          EGYPTIAN HIEROGLYPH A041
 0x13030  𓀰          EGYPTIAN HIEROGLYPH A042
 0x13031  𓀱          EGYPTIAN HIEROGLYPH A042A
 0x13032  𓀲          EGYPTIAN HIEROGLYPH A043
 0x13033  𓀳          EGYPTIAN HIEROGLYPH A043A
 0x13034  𓀴          EGYPTIAN HIEROGLYPH A044
 0x13035  𓀵          EGYPTIAN HIEROGLYPH A045
 0x13036  𓀶          EGYPTIAN HIEROGLYPH A045A
 0x13037  𓀷          EGYPTIAN HIEROGLYPH A046
 0x13038  𓀸          EGYPTIAN HIEROGLYPH A047
 0x13039  𓀹          EGYPTIAN HIEROGLYPH A048
 0x1303a  𓀺          EGYPTIAN HIEROGLYPH A049
 0x1303b  𓀻          EGYPTIAN HIEROGLYPH A050
 0x1303c  𓀼          EGYPTIAN HIEROGLYPH A051
 0x1303d  𓀽          EGYPTIAN HIEROGLYPH A052
 0x1303e  𓀾          EGYPTIAN HIEROGLYPH A053
 0x1303f  𓀿          EGYPTIAN HIEROGLYPH A054
 0x13040  𓁀          EGYPTIAN HIEROGLYPH A055
 0x13041  𓁁          EGYPTIAN HIEROGLYPH A056
 0x13042  𓁂          EGYPTIAN HIEROGLYPH A057
 0x13043  𓁃          EGYPTIAN HIEROGLYPH A058
 0x13044  𓁄          EGYPTIAN HIEROGLYPH A059
 0x13045  𓁅          EGYPTIAN HIEROGLYPH A060
 0x13046  𓁆          EGYPTIAN HIEROGLYPH A061
 0x13047  𓁇          EGYPTIAN HIEROGLYPH A062
 0x13048  𓁈          EGYPTIAN HIEROGLYPH A063
 0x13049  𓁉          EGYPTIAN HIEROGLYPH A064
 0x1304a  𓁊          EGYPTIAN HIEROGLYPH A065
 0x1304b  𓁋          EGYPTIAN HIEROGLYPH A066
 0x1304c  𓁌          EGYPTIAN HIEROGLYPH A067
 0x1304d  𓁍          EGYPTIAN HIEROGLYPH A068
 0x1304e  𓁎          EGYPTIAN HIEROGLYPH A069
 0x1304f  𓁏          EGYPTIAN HIEROGLYPH A070
 0x13050  𓁐          EGYPTIAN HIEROGLYPH B001
 0x13051  𓁑          EGYPTIAN HIEROGLYPH B002
 0x13052  𓁒          EGYPTIAN HIEROGLYPH B003
 0x13053  𓁓          EGYPTIAN HIEROGLYPH B004
 0x13054  𓁔          EGYPTIAN HIEROGLYPH B005
 0x13055  𓁕          EGYPTIAN HIEROGLYPH B005A
 0x13056  𓁖          EGYPTIAN HIEROGLYPH B006
 0x13057  𓁗          EGYPTIAN HIEROGLYPH B007
 0x13058  𓁘          EGYPTIAN HIEROGLYPH B008
 0x13059  𓁙          EGYPTIAN HIEROGLYPH B009
 0x1305a  𓁚          EGYPTIAN HIEROGLYPH C001
 0x1305b  𓁛          EGYPTIAN HIEROGLYPH C002
 0x1305c  𓁜          EGYPTIAN HIEROGLYPH C002A
 0x1305d  𓁝          EGYPTIAN HIEROGLYPH C002B
 0x1305e  𓁞          EGYPTIAN HIEROGLYPH C002C
 0x1305f  𓁟          EGYPTIAN HIEROGLYPH C003
 0x13060  𓁠          EGYPTIAN HIEROGLYPH C004
 0x13061  𓁡          EGYPTIAN HIEROGLYPH C005
 0x13062  𓁢          EGYPTIAN HIEROGLYPH C006
 0x13063  𓁣          EGYPTIAN HIEROGLYPH C007
 0x13064  𓁤          EGYPTIAN HIEROGLYPH C008
 0x13065  𓁥          EGYPTIAN HIEROGLYPH C009
 0x13066  𓁦          EGYPTIAN HIEROGLYPH C010
 0x13067  𓁧          EGYPTIAN HIEROGLYPH C010A
 0x13068  𓁨          EGYPTIAN HIEROGLYPH C011
 0x13069  𓁩          EGYPTIAN HIEROGLYPH C012
 0x1306a  𓁪          EGYPTIAN HIEROGLYPH C013
 0x1306b  𓁫          EGYPTIAN HIEROGLYPH C014
 0x1306c  𓁬          EGYPTIAN HIEROGLYPH C015
 0x1306d  𓁭          EGYPTIAN HIEROGLYPH C016
 0x1306e  𓁮          EGYPTIAN HIEROGLYPH C017
 0x1306f  𓁯          EGYPTIAN HIEROGLYPH C018
 0x13070  𓁰          EGYPTIAN HIEROGLYPH C019
 0x13071  𓁱          EGYPTIAN HIEROGLYPH C020
 0x13072  𓁲          EGYPTIAN HIEROGLYPH C021
 0x13073  𓁳          EGYPTIAN HIEROGLYPH C022
 0x13074  𓁴          EGYPTIAN HIEROGLYPH C023
 0x13075  𓁵          EGYPTIAN HIEROGLYPH C024
 0x13076  𓁶          EGYPTIAN HIEROGLYPH D001
 0x13077  𓁷          EGYPTIAN HIEROGLYPH D002
 0x13078  𓁸          EGYPTIAN HIEROGLYPH D003
 0x13079  𓁹          EGYPTIAN HIEROGLYPH D004
 0x1307a  𓁺          EGYPTIAN HIEROGLYPH D005
 0x1307b  𓁻          EGYPTIAN HIEROGLYPH D006
 0x1307c  𓁼          EGYPTIAN HIEROGLYPH D007
 0x1307d  𓁽          EGYPTIAN HIEROGLYPH D008
 0x1307e  𓁾          EGYPTIAN HIEROGLYPH D008A
 0x1307f  𓁿          EGYPTIAN HIEROGLYPH D009
 0x13080  𓂀          EGYPTIAN HIEROGLYPH D010
 0x13081  𓂁          EGYPTIAN HIEROGLYPH D011
 0x13082  𓂂          EGYPTIAN HIEROGLYPH D012
 0x13083  𓂃          EGYPTIAN HIEROGLYPH D013
 0x13084  𓂄          EGYPTIAN HIEROGLYPH D014
 0x13085  𓂅          EGYPTIAN HIEROGLYPH D015
 0x13086  𓂆          EGYPTIAN HIEROGLYPH D016
 0x13087  𓂇          EGYPTIAN HIEROGLYPH D017
 0x13088  𓂈          EGYPTIAN HIEROGLYPH D018
 0x13089  𓂉          EGYPTIAN HIEROGLYPH D019
 0x1308a  𓂊          EGYPTIAN HIEROGLYPH D020
 0x1308b  𓂋          EGYPTIAN HIEROGLYPH D021
 0x1308c  𓂌          EGYPTIAN HIEROGLYPH D022
 0x1308d  𓂍          EGYPTIAN HIEROGLYPH D023
 0x1308e  𓂎          EGYPTIAN HIEROGLYPH D024
 0x1308f  𓂏          EGYPTIAN HIEROGLYPH D025
 0x13090  𓂐          EGYPTIAN HIEROGLYPH D026
 0x13091  𓂑          EGYPTIAN HIEROGLYPH D027
 0x13092  𓂒          EGYPTIAN HIEROGLYPH D027A
 0x13093  𓂓          EGYPTIAN HIEROGLYPH D028
 0x13094  𓂔          EGYPTIAN HIEROGLYPH D029
 0x13095  𓂕          EGYPTIAN HIEROGLYPH D030
 0x13096  𓂖          EGYPTIAN HIEROGLYPH D031
 0x13097  𓂗          EGYPTIAN HIEROGLYPH D031A
 0x13098  𓂘          EGYPTIAN HIEROGLYPH D032
 0x13099  𓂙          EGYPTIAN HIEROGLYPH D033
 0x1309a  𓂚          EGYPTIAN HIEROGLYPH D034
 0x1309b  𓂛          EGYPTIAN HIEROGLYPH D034A
 0x1309c  𓂜          EGYPTIAN HIEROGLYPH D035
 0x1309d  𓂝          EGYPTIAN HIEROGLYPH D036
 0x1309e  𓂞          EGYPTIAN HIEROGLYPH D037
 0x1309f  𓂟          EGYPTIAN HIEROGLYPH D038
 0x130a0  𓂠          EGYPTIAN HIEROGLYPH D039
 0x130a1  𓂡          EGYPTIAN HIEROGLYPH D040
 0x130a2  𓂢          EGYPTIAN HIEROGLYPH D041
 0x130a3  𓂣          EGYPTIAN HIEROGLYPH D042
 0x130a4  𓂤          EGYPTIAN HIEROGLYPH D043
 0x130a5  𓂥          EGYPTIAN HIEROGLYPH D044
 0x130a6  𓂦          EGYPTIAN HIEROGLYPH D045
 0x130a7  𓂧          EGYPTIAN HIEROGLYPH D046
 0x130a8  𓂨          EGYPTIAN HIEROGLYPH D046A
 0x130a9  𓂩          EGYPTIAN HIEROGLYPH D047
 0x130aa  𓂪          EGYPTIAN HIEROGLYPH D048
 0x130ab  𓂫          EGYPTIAN HIEROGLYPH D048A
 0x130ac  𓂬          EGYPTIAN HIEROGLYPH D049
 0x130ad  𓂭          EGYPTIAN HIEROGLYPH D050
 0x130ae  𓂮          EGYPTIAN HIEROGLYPH D050A
 0x130af  𓂯          EGYPTIAN HIEROGLYPH D050B
 0x130b0  𓂰          EGYPTIAN HIEROGLYPH D050C
 0x130b1  𓂱          EGYPTIAN HIEROGLYPH D050D
 0x130b2  𓂲          EGYPTIAN HIEROGLYPH D050E
 0x130b3  𓂳          EGYPTIAN HIEROGLYPH D050F
 0x130b4  𓂴          EGYPTIAN HIEROGLYPH D050G
 0x130b5  𓂵          EGYPTIAN HIEROGLYPH D050H
 0x130b6  𓂶          EGYPTIAN HIEROGLYPH D050I
 0x130b7  𓂷          EGYPTIAN HIEROGLYPH D051
 0x130b8  𓂸          EGYPTIAN HIEROGLYPH D052
 0x130b9  𓂹          EGYPTIAN HIEROGLYPH D052A
 0x130ba  𓂺          EGYPTIAN HIEROGLYPH D053
 0x130bb  𓂻          EGYPTIAN HIEROGLYPH D054
 0x130bc  𓂼          EGYPTIAN HIEROGLYPH D054A
 0x130bd  𓂽          EGYPTIAN HIEROGLYPH D055
 0x130be  𓂾          EGYPTIAN HIEROGLYPH D056
 0x130bf  𓂿          EGYPTIAN HIEROGLYPH D057
 0x130c0  𓃀          EGYPTIAN HIEROGLYPH D058
 0x130c1  𓃁          EGYPTIAN HIEROGLYPH D059
 0x130c2  𓃂          EGYPTIAN HIEROGLYPH D060
 0x130c3  𓃃          EGYPTIAN HIEROGLYPH D061
 0x130c4  𓃄          EGYPTIAN HIEROGLYPH D062
 0x130c5  𓃅          EGYPTIAN HIEROGLYPH D063
 0x130c6  𓃆          EGYPTIAN HIEROGLYPH D064
 0x130c7  𓃇          EGYPTIAN HIEROGLYPH D065
 0x130c8  𓃈          EGYPTIAN HIEROGLYPH D066
 0x130c9  𓃉          EGYPTIAN HIEROGLYPH D067
 0x130ca  𓃊          EGYPTIAN HIEROGLYPH D067A
 0x130cb  𓃋          EGYPTIAN HIEROGLYPH D067B
 0x130cc  𓃌          EGYPTIAN HIEROGLYPH D067C
 0x130cd  𓃍          EGYPTIAN HIEROGLYPH D067D
 0x130ce  𓃎          EGYPTIAN HIEROGLYPH D067E
 0x130cf  𓃏          EGYPTIAN HIEROGLYPH D067F
 0x130d0  𓃐          EGYPTIAN HIEROGLYPH D067G
